stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
532,532,Charleston @ Torrey Pines (W),,36.159302,-115.232072,,,,,,0
533,533,Charleston @ Torrey Pines (E),,36.159055,-115.23402,,,,,,0
534,534,Charleston @ Torrey Pines (W),,36.15926,-115.235842,,,,,,0
535,535,Charleston @ Upland (W),,36.159286,-115.220527,,,,,,0
536,536,Charleston @ Valley View (E),,36.158898,-115.191553,,,,,,0
538,538,Charleston @ Warbonnet (E),,36.158981,-115.266414,,,,,,0
540,540,Charleston @ Westwind (E),,36.159062,-115.218688,,,,,,0
541,541,Charleston @ Pahor (E),,36.158776,-115.168063,,,,,,0
542,542,Charleston @ Shadow (W),,36.159018,-115.166251,,,,,,0
543,543,Charleston @ Lamont (W),,36.159137,-115.069275,,,,,,0
544,544,Cheyenne @ Pecos (E),,36.21754,-115.10058,,,,,,0
546,546,Cheyenne @ Valley (E),,36.217237,-115.201239,,,,,,0
547,547,Cheyenne @ Allen (E),,36.217403,-115.187698,,,,,,0
548,548,Cheyenne @ Allen (W),,36.217603,-115.189435,,,,,,0
549,549,Cheyenne @ Berg (W),,36.217767,-115.113427,,,,,,0
550,550,Cheyenne @ Berg (E),,36.217536,-115.112408,,,,,,0
551,551,Cheyenne @ Bucyrus Erie (E),,36.217602,-115.130009,,,,,,0
552,552,Cheyenne @ Buffalo (W),,36.218407,-115.26118,,,,,,0
553,553,Cheyenne @ California (E),,36.21732,-115.194525,,,,,,0
554,554,Cheyenne @ Cimarron (W),,36.218507,-115.265577,,,,,,0
555,555,Cheyenne @ 5th (E),,36.217687,-115.136413,,,,,,0
556,556,Cheyenne @ Civic Center (E),,36.217522,-115.11931,,,,,,0
557,557,Cheyenne @ Clayton (E),,36.217552,-115.169576,,,,,,0
558,558,Cheyenne @ Clayton (W),,36.217764,-115.170882,,,,,,0
559,559,Cheyenne @ Commerce (E),,36.217847,-115.142567,,,,,,0
560,560,Cheyenne @ Commerce (W),,36.218117,-115.143649,,,,,,0
561,561,Cheyenne @ Decatur (E),,36.21718,-115.20682,,,,,,0
562,562,Cheyenne @ Decatur (W),,36.217377,-115.20841,,,,,,0
563,563,Cheyenne @ Marion (W),,36.217859,-115.071827,,,,,,0
564,564,Cheyenne @ Abels (E),,36.217614,-115.075196,,,,,,0
565,565,Cheyenne @ Englestad (W),,36.21801,-115.148258,,,,,,0
566,566,Cheyenne @ Englestad (E),,36.217774,-115.146801,,,,,,0
567,567,Cheyenne @ Jones (E),,36.216684,-115.224886,,,,,,0
568,568,Cheyenne @ Jones (W),,36.217073,-115.227255,,,,,,0
569,569,Cheyenne @ Lamb (E),,36.217599,-115.079441,,,,,,0
570,570,Cheyenne @ Lamb (W),,36.217859,-115.080747,,,,,,0
571,571,Cheyenne @ Lamont (E),,36.21796,-115.066074,,,,,,0
572,572,Cheyenne @ Lamont (W),,36.218097,-115.067303,,,,,,0
573,573,Cheyenne @ Las Vegas (E),,36.21756,-115.092598,,,,,,0
574,574,Cheyenne @ Losee (W),,36.217816,-115.129025,,,,,,0
575,575,Cheyenne @ Martin L King (E),,36.217583,-115.16062,,,,,,0
576,576,Cheyenne @ Martin L King (W),,36.217839,-115.162727,,,,,,0
577,577,Cheyenne @ Mary Dee (W),,36.217766,-115.11824,,,,,,0
578,578,Cheyenne @ Maverick (W),,36.217349,-115.230575,,,,,,0
579,579,Cheyenne @ Michael (E),,36.216896,-115.216273,,,,,,0
580,580,Cheyenne @ Michael (W),,36.217083,-115.217412,,,,,,0
581,581,Cheyenne @ Miramar (W),,36.217068,-115.22179,,,,,,0
582,582,Cheyenne @ 5th (E),,36.217619,-115.133487,,,,,,0
583,583,Cheyenne @ 5th (W),,36.217899,-115.134599,,,,,,0
585,585,Cheyenne @ Nellis (W),,36.218389,-115.062955,,,,,,0
586,586,Cheyenne @ Pecos (E),,36.21754,-115.097855,,,,,,0
587,587,Cheyenne @ Pecos (W),,36.217761,-115.099191,,,,,,0
588,588,Cheyenne @ Rainbow (E),,36.21803,-115.241509,,,,,,0
589,589,Cheyenne @ Rainbow (W),,36.21836,-115.243038,,,,,,0
590,590,Cheyenne @ Ramrod (E),,36.217567,-115.236069,,,,,,0
591,591,Cheyenne @ Rancho (E),,36.217047,-115.210977,,,,,,0
592,592,Cheyenne @ Rancho (W),,36.217197,-115.21366,,,,,,0
593,593,Cheyenne @ Sandy (W),,36.217782,-115.094366,,,,,,0
594,594,Cheyenne @ Serene (W),,36.218104,-115.239636,,,,,,0
595,595,Cheyenne @ Simmons (E),,36.217448,-115.178514,,,,,,0
596,596,Cheyenne @ Simmons (W),,36.21774,-115.18004,,,,,,0
597,597,Cheyenne @ Soaring Gulls (W),,36.218656,-115.274772,,,,,,0
598,598,Cheyenne @ Tenaya (E),,36.218069,-115.250614,,,,,,0
599,599,Cheyenne @ Tenaya (W),,36.218387,-115.252099,,,,,,0
